source_ip,destination_ip,protocol,bytes,duration_ms,packets
10.0.1.15,10.0.2.20,TCP,1240,35,12
10.0.1.18,10.0.2.53,DNS,312,18,3
10.0.1.22,172.16.20.8,HTTPS,18450,780,38
192.168.1.44,10.0.3.10,TCP,894,22,9
10.0.1.31,10.0.2.27,UDP,670,15,6
172.16.10.12,192.168.10.7,TLS,42600,1120,60
10.0.2.19,10.0.3.55,HTTP,9230,410,18
192.168.1.77,10.0.2.53,DNS,280,12,2
10.0.1.92,172.16.20.17,TCP,3100,95,21
10.0.1.121,10.0.2.27,TCP,15800,640,45
172.16.10.33,192.168.10.21,UDP,420,14,4
10.0.2.44,10.0.3.81,HTTPS,78500,2150,94
192.168.1.109,172.16.20.4,TLS,21400,880,41
10.0.1.56,10.0.2.53,DNS,512,25,5
10.0.1.180,10.0.3.16,TCP,112000,3550,180
172.16.10.41,192.168.10.90,HTTP,6700,235,13
10.0.2.72,172.16.20.5,UDP,870,28,8
192.168.1.142,10.0.2.19,TLS,96000,2870,122
10.0.1.205,10.0.3.100,TCP,680000,14800,510
172.16.10.55,192.168.10.12,DNS,4500,340,29
10.0.2.96,172.16.20.11,HTTPS,35100,1300,57
192.168.1.201,10.0.2.40,TCP,1250000,23500,840
10.0.1.77,10.0.3.92,UDP,1480,47,15
172.16.10.68,192.168.10.36,TLS,56300,1690,75
10.0.2.115,172.16.20.14,DNS,8400,610,48
192.168.1.230,10.0.2.88,TCP,2200000,38600,1420
10.0.1.133,10.0.3.24,HTTP,14600,520,25
172.16.10.79,192.168.10.48,UDP,760,19,7
10.0.2.138,172.16.20.30,TLS,418000,9200,330
192.168.1.253,10.0.2.110,TCP,790000,17100,640
